Func_group	Methyl	Mehtylene	Methine
M-CH2R	0,8	1,2	1,6
M-C=C	1,6	2	0
M-C#C	1,7	2,2	2,8
M-Phi	2,2	2,6	2,8
M-F	4,2	4,4	4,8
M-CI	3	3,5	4,1
M-Br	2,7	3,4	4,1
M-I	2,2	3,1	4,2
M-OH	3,2	3,4	3,6
M-OR	3,2	3,4	3,6
M-Ophi	3,8	4	4,6
M-OC(=O)R	3,6	4,1	4,9
M-OC(=O)Phi	3,8	4,4	5
M-OC(=O)CF3	3,9	4,3	0
M-OTs	3,7	3,9	4,7
M-C(=O)H	2,2	2,4	2,5
M-C(=O)R	2,1	2,3	2,6
M-C(=O)Phi	2,4	2,7	3,4
M-C(=O)OH	2,1	2,3	2,5
M-C(=O)OR	1,8	2,1	2,3
M-C(=O)NR2	1,8	2,1	2,2
M-C#N	2,2	2,4	3
M-NH2	2,5	2,7	3
M-NR2	2,2	2,4	2,8
M-NPhiR	2,6	3	3,6
M-N+R3	3	3,1	3,6
M-NHV(=O)R	3	3,4	3,8
M-NO2	4,1	4,2	4,4
M-N=C	2,9	3,3	4,9
M-N=C=O	0	3,3	0
M-O-C#N	0	4,6	0
M-N=C=S	3,4	3,7	4
M-S-C#N	2,7	3	3,3
M-O-N=O	0	4,8	0
M-SH	2,1	2,6	3,1
M-SR	2,1	2,6	3,1
M-Sphi	2,5	0	0
M-SSR	2,4	2,7	0
M-SOR	2,6	3,1	0
M-SO2R	0	3,1	0
M-SO3R	3	0	0
M-PR2	0	2,4	0
M-P+Cl3	3,3	3,4	0
M-P(=O)R2	0	2,4	0
M-P(=S)R2	0	2,8	0
